Episode,Single,Double,Triple,Tetris,Total,Score
50,0,0,0,0,0,18.62
100,0,0,0,0,0,17.88
150,0.02,0,0,0,0.02,19.54
200,0.02,0,0,0,0.02,18.76
250,0,0,0,0,0,18.8
300,0.08,0,0,0,0.08,21.18
350,0.06,0,0,0,0.06,21.36
400,0.14,0,0,0,0.14,23.74
450,0.2,0,0,0,0.2,24.16
500,0.26,0,0,0,0.26,26.88
550,0.44,0.02,0,0,0.48,29.32
600,0.54,0,0,0,0.54,30.74
650,0.7,0,0,0,0.7,32.92
700,0.78,0,0,0,0.78,34.68
750,0.86,0,0,0,0.86,36.12
800,1.28,0,0,0,1.28,42.84
850,1.26,0,0,0,1.26,41.66
900,2.06,0.04,0,0,2.14,55.92
950,2.2,0.1,0,0,2.4000000000000004,60.04
1000,2.5,0.14,0,0,2.7800000000000002,65.88
1050,3.08,0.04,0.02,0,3.22,72.18
1100,3.78,0.1,0.02,0,4.04,82.92
1150,4.3,0.1,0,0,4.5,86.2
1200,5.68,0.36,0.02,0,6.459999999999999,118.98
1250,6.78,0.2,0.04,0,7.300000000000001,126.64
1300,7.26,0.56,0.02,0,8.44,145.54
1350,8.84,0.7,0.06,0.02,10.5,178.12
1400,11.02,0.86,0.1,0.04,13.200000000000001,219.78
1450,12.14,1.12,0.16,0.1,15.260000000000002,256.66
1500,16.88,2.36,0.46,0.12,23.459999999999997,397.14
1550,16.78,2.94,0.44,0.2,24.78,437.88
1600,21.78,3.7,1.16,0.38,34.18,629.46
1650,18.62,3.52,0.94,0.26,29.52,544.58
1700,16.72,4.9,1.08,0.28,30.88,591.58
1750,15.42,4.6,0.78,0.34,28.319999999999997,541.22
1800,14.68,3.7,0.78,0.26,25.459999999999997,483.74
1850,10.2,2.78,0.8,0.42,19.839999999999996,415.32
1900,13.4,4.54,1.1,0.5,27.78,571.82
1950,14.3,4.04,0.92,0.3,26.340000000000003,518.5
2000,17.44,4.48,1.26,0.56,32.42,644.64
2050,14.62,3.28,0.96,0.54,26.22,538.14
2100,14.06,4.14,0.6,0.28,25.26,475.78
2150,16.26,4.52,1.16,0.3,29.98,579.94
2200,17.98,3.82,0.9,0.22,29.2,528.92
2250,20.06,4.48,1.16,0.24,33.46,618.34
2300,15,4.2,1.06,0.34,27.939999999999998,543.94
2350,12.66,4.46,0.96,0.34,25.819999999999997,512.36
2400,16.4,4.32,1.16,0.36,29.96,589.52
2450,17.16,3.92,1.12,0.42,30.04,579.9
2500,13.86,3.9,0.78,0.2,24.8,476.24
2550,16.94,4.1,1.02,0.18,28.919999999999998,535.52
2600,16.26,4.4,0.58,0.3,28.0,517.14
2650,12.2,3.52,0.64,0.42,22.839999999999996,457.76
2700,12.8,3.5,0.98,0.18,23.46,458.58
2750,12.54,4.18,1.12,0.3,25.459999999999997,518.54
2800,13.2,4.02,1.02,0.32,25.58,515.7
2850,15.84,4.16,0.92,0.36,28.360000000000003,550.1
2900,17.66,4.54,1.08,0.44,31.740000000000006,621.74
2950,14.48,4.44,1.12,0.26,27.759999999999998,547.38
3000,17.56,4.68,1.04,0.38,31.56,595.02
3050,16.16,4.2,0.88,0.18,27.92,520.54
3100,20.68,4.3,0.92,0.34,33.4,616.2
3150,21.2,4.16,1.04,0.26,33.68,600.78
3200,17.86,3.72,0.76,0.26,28.62,521.1
